Libellé Fonction,Sous-fonction,Libellé sous-fonction,Article,Bénéficiaire,Budget de l'année,Libellé article
Enseignement et formation,255.15,Oeuvres  scolaires,6574,Délégués Départementaux de l'Education Nationale (DDEN) - Fédération d'Ille-et-Vilaine,3069,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,FONJEP (2 postes)MJC,139488,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,COMPTOIR DU DOC,42000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,Rencontre et Culture - Maison Quartier Villejean (fonctionnement pôle multimédia),8000,Subvention fonct. - Nouvelles technologies
Culture,314.6,Salles culturelles en régie,6574,Provision salle Guy Ropartz,110000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Provision - Aides aux clubs et animations,1257774,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Vivre aux Longschamps (halte garderie Bébébul),13000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,STADE RENNAIS RUGBY,20000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,SUD,7312,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.15,CRR - Musiques,6574,Arpèges - Formation musicale,10793,Subv. fonct. aux associat.et autres personnes droit privé
Famille,61.1,Aides aux personnes âgées,6574,Association Bistrot Mémoire,5500,Subv. fonct. aux associat.et autres personnes droit privé
